"ranking","airport_name","airport_code","flights"
"1","Chicago","ORD","1027"
"2","Denver","DEN","822"
"3","Dallas","DFW","728"
"4","Atlanta","ATL","682"
"5","Guangzhou","CAN","680"
"6","Shanghai","PVG","667"
"7","Tokyo","HND","642"
"8","Istanbul","IST","592"
"9","Charlotte","CLT","580"
"10","Los Angeles","LAX","564"
"11","Delhi","DEL","563"
"12","London","LHR","537"
"13","Amsterdam","AMS","523"
"14","Jakarta","CGK","522"
"15","Beijing","PEK","516"
"16","Madrid","MAD","511"
"17","Houston","IAH","503"
"18","Shenzhen","SZX","497"
"19","Paris","CDG","494"
"20","Chengdu","TFU","493"
"21","Seattle","SEA","490"
"22","Frankfurt","FRA","483"
"23","Seoul","ICN","476"
"24","New York","JFK","475"
"25","Boston","BOS","456"
"26","Singapore","SIN","452"
"27","Kunming","KMG","447"
"28","Newark","EWR","446"
"29","San Francisco","SFO","444"
"30","Kuala Lumpur","KUL","444"
"31","Rome","FCO","438"
"32","Peking","PKX","437"
"33","Dubai","DXB","435"
"34","Xi'an","XIY","434"
"35","Phoenix","PHX","434"
"36","Toronto","YYZ","431"
"37","Bangkok","BKK","426"
"38","Chongqing","CKG","424"
"39","Barcelona","BCN","423"
"40","Miami","MIA","411"
"41","Hong Kong","HKG","397"
"42","Bogota","BOG","396"
"43","Hangzhou","HGH","395"
"44","Athens","ATH","388"
"45","Orlando","MCO","378"
"46","Las Vegas","LAS","376"
"47","Philadelphia","PHL","371"
"48","Shanghai","SHA","365"
"49","Munich","MUC","362"
"50","Dublin","DUB","362"
"51","New York","LGA","358"
"52","Bombay","BOM","357"
"53","Palma De Mallorca","PMI","354"
"54","Sydney","SYD","350"
"55","Moscow","SVO","344"
"56","Minneapolis","MSP","340"
"57","Mexico City","MEX","336"
"58","Riyadh","RUH","335"
"59","Ho Chi Minh City","SGN","324"
"60","Detroit","DTW","323"
"61","Washington","IAD","318"
"62","Jeddah","JED","313"
"63","Manila","MNL","312"
"64","Vancouver","YVR","310"
"65","Taipei","TPE","303"
"66","Washington","DCA","298"
"67","Bangalore","BLR","297"
"68","Paris","ORY","296"
"69","Istanbul","SAW","295"
"70","London","LGW","295"
"71","Nanjing","NKG","290"
"72","Vienna","VIE","285"
"73","Zurich","ZRH","281"
"74","Copenhagen","CPH","281"
"75","Wuhan","WUH","280"
"76","San Diego","SAN","274"
"77","Melbourne","MEL","273"
"78","Urumqi","URC","270"
"79","Zhengzhou","CGO","268"
"80","Hanoi","HAN","266"
"81","Tokyo","NRT","265"
"82","Doha","DOH","265"
"83","Antalya","AYT","265"
"84","Salt Lake City","SLC","263"
"85","Nashville","BNA","263"
"86","Changsha","CSX","260"
"87","London","STN","256"
"88","Qingdao","TAO","256"
"89","Milano","MXP","255"
"90","Chengdu","CTU","252"
"91","Manchester","MAN","252"
"92","Malaga","AGP","251"
"93","Johannesburg","JNB","251"
"94","Fukuoka","FUK","248"
"95","Xiamen","XMN","244"
"96","Lisbon","LIS","242"
"97","Oslo","OSL","238"
"98","Montreal","YUL","237"
"99","Cairo","CAI","235"
"100","Brisbane","BNE","228"
