date,icao,total_traffic
2025-01-01,LTFM,1291
2025-01-01,EGLL,1210
2025-01-01,EHAM,1190
2025-01-01,LFPG,1155
2025-01-01,LEMD,1049
2025-01-01,LEBL,837
2025-01-01,EDDF,812
2025-01-01,LIRF,768
2025-01-01,EGKK,633
2025-01-01,LTFJ,603
2025-01-01,EDDM,598
2025-01-01,LSZH,577
2025-01-01,LPPT,564
2025-01-01,LFPO,527
2025-01-01,LIMC,510
2025-01-01,EGSS,489
2025-01-01,LOWW,486
2025-01-01,LGAV,462
2025-01-01,EKCH,427
2025-01-01,EDDB,423
2025-01-01,EBBR,419
2025-01-01,EIDW,419
2025-01-01,EGCC,419
2025-01-01,ENGM,399
2025-01-01,LSGG,395
2025-01-01,EPWA,390
2025-01-01,LEMG,367
2025-01-01,GCLP,348
2025-01-01,EFHK,325
2025-01-01,ESSA,324
2025-01-01,LHBP,314
2025-01-01,LLBG,300
2025-01-01,LEPA,288
2025-01-01,GCTS,274
2025-01-01,LEAL,271
2025-01-01,EGGW,264
2025-01-01,LKPR,263
2025-01-01,LIML,258
2025-01-01,LIME,256
2025-01-01,EDDL,251
2025-01-01,LPPR,247
2025-01-01,LFMN,245
2025-01-01,LTAI,240
2025-01-01,GMMN,235
2025-01-01,EGPH,234
2025-01-01,GMMX,214
2025-01-01,EDDH,212
2025-01-01,LROP,212
2025-01-01,LTAC,204
2025-01-01,EPKK,196
2025-01-01,LEVC,192
2025-01-01,LIPZ,190
2025-01-01,EBCI,187
2025-01-01,LFML,184
2025-01-01,LICC,173
2025-01-01,EGBB,173
2025-01-01,LIPE,172
2025-01-01,GCXO,170
2025-01-01,LFLL,167
2025-01-01,ENBR,162
2025-01-01,GCRR,162
2025-01-01,LFSB,158
2025-01-01,LTBJ,154
2025-01-01,LYBE,150
2025-01-01,LEZL,149
2025-01-01,EDDK,147
2025-01-01,LICJ,147
2025-01-01,ELLX,147
2025-01-01,EGGD,145
2025-01-01,LMML,142
2025-01-01,LFBO,138
2025-01-01,EDDS,134
2025-01-01,GCFV,134
2025-01-01,LIRN,132
2025-01-01,BIKF,129
2025-01-01,LCLK,128
2025-01-01,LATI,126
2025-01-01,EGAA,126
2025-01-01,LBSF,121
2025-01-01,EVRA,121
2025-01-01,UDYZ,111
2025-01-01,ENTC,106
2025-01-01,EGPF,105
2025-01-01,LDZA,103
2025-01-01,LFRS,103
2025-01-01,LIMF,100
2025-01-01,LEBB,100
2025-01-01,EPGD,99
2025-01-01,ENVA,98
2025-01-01,LFBD,97
2025-01-01,EGLC,97
2025-01-01,LGTS,95
2025-01-01,ESGG,94
2025-01-01,ENZV,93
2025-01-01,UGTB,89
2025-01-01,LPMA,88
2025-01-01,EDDP,84
2025-01-01,LFOB,83
2025-01-01,LPFR,83
2025-01-01,LIRP,81
2025-01-01,LIRA,80
2025-01-01,EDDV,76
2025-01-01,EYVI,75
2025-01-01,LEIB,74
2025-01-01,EGNT,73
2025-01-01,EETN,69
2025-01-01,EPWR,69
2025-01-01,EGAC,69
2025-01-01,GMAD,67
2025-01-01,ENBO,66
2025-01-01,EDDN,64
2025-01-01,LFPB,62
2025-01-01,EICK,58
2025-01-01,EPKT,56
2025-01-01,GCLA,56
2025-01-01,LUKK,55
2025-01-01,GMTT,55
2025-01-01,EPPO,55
2025-01-01,LWSK,53
2025-01-01,LIBR,51
2025-01-01,LEST,50
2025-01-01,LOWI,49
2025-01-01,GMME,49
2025-01-01,LTBA,49
2025-01-01,EHRD,44
2025-01-01,LFMT,43
2025-01-01,EGPD,43
2025-01-01,EGNX,42
2025-01-01,LFQQ,39
2025-01-01,EINN,39
2025-01-01,LPPD,39
2025-01-01,LIPH,38
2025-01-01,GMFF,38
2025-01-01,EDDW,37
2025-01-01,LOWS,36
2025-01-01,LCPH,36
2025-01-01,LFST,34
2025-01-01,LEAS,34
2025-01-01,EBLG,31
2025-01-01,LGIR,30
2025-01-01,EPRZ,30
2025-01-01,LEMH,30
2025-01-01,EGKB,29
2025-01-01,UGKO,28
2025-01-01,ENKR,28
2025-01-01,ENAL,27
2025-01-01,ENAT,26
2025-01-01,EPMO,26
2025-01-01,LEGR,26
2025-01-01,EYKA,25
2025-01-01,LYPG,25
2025-01-01,LGSA,24
2025-01-01,ENEV,24
2025-01-01,ENKB,23
2025-01-01,LJLJ,23
2025-01-01,LQSA,21
2025-01-01,LZIB,21
2025-01-01,LFKB,20
2025-01-01,EGHI,20
2025-01-01,LFRN,18
2025-01-01,GEML,18
2025-01-01,LEXJ,18
2025-01-01,LEZG,18
2025-01-01,LFKJ,17
2025-01-01,LECO,17
2025-01-01,LSGS,17
2025-01-01,EGLF,17
2025-01-01,LFLB,16
2025-01-01,EIKN,16
2025-01-01,ENCN,15
2025-01-01,LEVX,15
2025-01-01,LFRB,14
2025-01-01,UGSB,14
2025-01-01,EDDC,14
2025-01-01,LGSR,14
2025-01-01,LEAM,14
2025-01-01,LOWG,13
2025-01-01,LFBZ,13
2025-01-01,LFKF,13
2025-01-01,ENBN,13
2025-01-01,ENST,13
2025-01-01,LEJR,13
2025-01-01,EDDG,12
2025-01-01,ENHF,12
2025-01-01,ENML,12
2025-01-01,ENSH,12
2025-01-01,ENSK,12
2025-01-01,EPSC,12
2025-01-01,LPHR,12
2025-01-01,GCHI,12
2025-01-01,LFBT,11
2025-01-01,ENFL,11
2025-01-01,LFRK,10
2025-01-01,ENLK,10
2025-01-01,ENOV,10
2025-01-01,ENSG,10
2025-01-01,LEGE,10
2025-01-01,LEMI,10
2025-01-01,LFBP,9
2025-01-01,LFLC,9
2025-01-01,LFOT,9
2025-01-01,ENHD,9
2025-01-01,ENVD,9
2025-01-01,LESO,9
2025-01-01,LFKC,8
2025-01-01,LFMD,8
2025-01-01,LGKF,8
2025-01-01,LGKO,8
2025-01-01,LGKR,8
2025-01-01,EHBK,8
2025-01-01,ENNA,8
2025-01-01,ENRA,8
2025-01-01,GCGM,8
2025-01-01,LEVT,8
2025-01-01,EBAW,7
2025-01-01,EBOS,7
2025-01-01,ENAN,7
2025-01-01,LEBZ,7
2025-01-01,LEPP,7
2025-01-01,LFGJ,6
2025-01-01,LFMV,6
2025-01-01,LFTH,6
2025-01-01,EDDR,6
2025-01-01,LGZA,6
2025-01-01,EIKY,6
2025-01-01,ENMH,6
2025-01-01,ENRM,6
2025-01-01,EPBY,6
2025-01-01,EPLL,6
2025-01-01,LPCS,6
2025-01-01,LEVD,6
2025-01-01,LFBE,5
2025-01-01,LFLY,5
2025-01-01,LFOK,5
2025-01-01,ENBL,5
2025-01-01,ENMS,5
2025-01-01,ENSD,5
2025-01-01,LERT,5
2025-01-01,LOWL,4
2025-01-01,LKMT,4
2025-01-01,LFJL,4
2025-01-01,LFLS,4
2025-01-01,LFMK,4
2025-01-01,LFMP,4
2025-01-01,LFTW,4
2025-01-01,LGMK,4
2025-01-01,LGPZ,4
2025-01-01,ENBS,4
2025-01-01,ENBV,4
2025-01-01,ENHV,4
